lambda n_features_selected time iterB n_fictive_active n_branch_opened1 n_branch_opened2 n_branch_opened3 n_activeset1 n_activeset2 n_activeset3 nb_iter_CD1 nb_iter_CD2 nb_iter_CD3 time_check_branch1 time_check_branch2 time_check_branch3 time_MIPS1 time_MIPS2 time_MIPS3 time_CD1 time_CD2 time_CD3 
628.236 1 9 1 612 2 0 0 1 0 0 0 0 0 4 0 0 0 0 0 0 0 0 
599.961 2 11 2 626 1 0 0 1 2 0 51 0 0 3 3 0 0 0 0 0 0 0 
572.958 3 12 2 652 4 0 0 2 3 0 51 0 0 3 3 0 0 0 0 0 0 0 
547.171 4 12 2 676 2 0 0 3 4 0 51 0 0 4 4 0 0 0 0 0 0 0 
522.544 4 8 1 697 3 0 0 4 0 0 0 0 0 4 0 0 0 0 0 0 0 0 
499.025 4 9 1 719 5 0 0 4 0 0 0 0 0 4 0 0 1 0 0 0 0 0 
476.566 4 10 1 739 9 0 0 4 0 0 0 0 0 4 0 0 2 0 0 0 0 0 
455.117 4 13 1 758 25 0 0 4 0 0 0 0 0 5 0 0 5 0 0 0 0 0 
434.633 6 24 2 776 47 0 0 4 6 0 51 0 0 4 5 0 10 0 0 0 0 0 
415.071 6 24 1 800 68 0 0 6 0 0 0 0 0 5 0 0 15 0 0 0 0 0 
396.39 7 35 2 814 78 0 0 6 7 0 51 0 0 5 6 0 18 0 0 0 0 0 
378.55 7 22 1 832 76 0 0 7 0 0 0 0 0 4 0 0 13 0 0 0 0 0 
361.512 9 33 2 845 104 5 0 7 9 0 51 0 0 5 5 0 18 1 0 0 0 0 
345.241 14 31 2 854 72 0 0 9 14 0 51 0 0 5 5 0 15 0 0 0 0 0 
329.703 14 23 1 864 84 0 0 14 0 0 0 0 0 4 0 0 14 0 0 0 0 0 
314.864 14 24 1 878 95 0 0 14 0 0 0 0 0 5 0 0 15 0 0 0 0 0 
300.693 18 43 2 892 146 1 0 14 18 0 101 0 0 5 5 0 25 0 0 1 0 0 
287.159 18 30 1 903 108 0 0 18 0 0 0 0 0 5 0 0 20 0 0 0 0 0 
274.235 20 37 2 908 127 3 0 18 20 0 101 0 0 5 5 0 20 0 0 1 0 0 
261.892 22 39 2 917 128 4 0 20 22 0 101 0 0 5 5 0 21 1 0 1 0 0 
250.105 23 41 2 926 137 1 0 22 23 0 101 0 0 5 5 0 24 0 0 1 0 0 
238.849 25 43 2 938 121 1 0 23 25 0 101 0 0 5 5 0 25 0 0 1 0 0 
228.099 27 44 2 946 153 0 0 25 27 0 101 0 0 5 5 0 27 0 0 1 0 0 
217.833 29 42 2 952 145 0 0 27 29 0 101 0 0 5 5 0 25 0 0 1 0 0 
208.028 30 42 2 959 151 0 0 29 30 0 101 0 0 5 4 0 25 0 0 2 0 0 
198.666 33 48 2 967 171 2 0 30 33 0 101 0 0 5 5 0 30 0 0 2 0 0 
189.724 34 44 2 972 147 0 0 33 34 0 101 0 0 5 5 0 26 0 0 2 0 0 
181.185 35 55 2 979 168 0 0 34 35 0 101 0 0 5 4 0 36 0 0 2 0 0 
173.031 36 55 2 981 181 1 0 35 36 0 101 0 0 6 5 0 34 0 0 2 0 0 
165.243 37 57 2 983 163 0 0 36 37 0 101 0 0 5 5 0 34 0 0 5 0 0 
157.806 38 54 2 985 178 0 0 37 38 0 101 0 0 6 5 0 34 0 0 2 0 0 
150.703 39 69 2 991 226 0 0 38 39 0 101 0 0 5 5 0 49 0 0 2 0 0 
143.921 40 52 2 995 185 2 0 39 40 0 101 0 0 5 5 0 33 0 0 2 0 0 
137.443 42 55 2 996 196 0 0 40 42 0 101 0 0 5 6 0 34 0 0 2 0 0 
131.257 44 58 2 997 213 5 0 42 44 0 101 0 0 5 5 0 38 1 0 2 0 0 
125.35 48 61 2 998 222 6 0 44 48 0 151 0 0 5 5 0 39 1 0 4 0 0 
119.708 50 70 2 999 252 4 0 48 50 0 151 0 0 6 5 0 46 1 0 4 0 0 
114.32 51 61 2 999 231 0 0 50 51 0 101 0 0 5 4 0 41 0 0 3 0 0 
109.175 53 66 2 999 249 5 0 51 53 0 101 0 0 5 4 0 45 1 0 3 0 0 
104.261 56 62 2 999 236 1 0 53 56 0 151 0 0 5 5 0 39 0 0 5 0 0 
99.5687 58 74 2 999 288 1 0 56 58 0 151 0 0 4 4 0 50 0 0 5 0 0 
95.0873 62 69 2 999 278 4 0 58 62 0 151 0 0 5 5 0 44 1 0 5 0 0 
90.8077 66 74 2 999 300 9 0 61 66 0 151 0 0 5 5 0 49 1 0 5 0 0 
86.7207 71 85 2 1000 306 12 0 66 71 0 151 0 0 5 5 0 57 2 0 6 0 0 
82.8176 75 83 2 1000 329 10 0 71 75 0 151 0 0 5 5 0 56 2 0 6 0 0 
79.0902 79 96 2 1000 345 9 0 75 79 0 101 0 0 5 5 0 69 2 0 4 0 0 
75.5306 90 100 2 1000 368 19 0 79 90 0 151 0 0 5 5 0 68 3 0 8 0 0 
72.1311 97 115 3 1000 380 27 0 90 96 97 151 151 0 5 4 4 65 4 0 8 9 0 
68.8847 109 137 3 1000 399 53 2 97 108 109 201 151 0 5 5 4 73 11 0 12 10 0 
65.7844 114 116 2 1000 415 30 0 109 114 0 251 0 0 5 4 0 67 6 0 17 0 0 
62.8236 124 125 2 1000 432 39 0 114 124 0 201 0 0 7 5 0 74 7 0 14 0 0 
59.9961 134 137 2 1000 414 58 0 124 134 0 251 0 0 5 5 0 75 11 0 21 0 0 
57.2958 153 169 3 1000 419 70 2 132 151 153 251 201 0 5 5 5 77 15 0 21 19 0 
